logical-address=30023,page-number=7,offset=1351
tlb-hit=0,page-number=7,frame=none,physical-address=none
tlb-remove=none,tlb-add=7logical-address=90112,page-number=22,offset=0
tlb-hit=0,page-number=22,frame=none,physical-address=none
tlb-remove=none,tlb-add=22logical-address=94208,page-number=23,offset=0
tlb-hit=0,page-number=23,frame=none,physical-address=none
tlb-remove=none,tlb-add=23logical-address=98304,page-number=24,offset=0
tlb-hit=0,page-number=24,frame=none,physical-address=none
tlb-remove=none,tlb-add=24logical-address=102400,page-number=25,offset=0
tlb-hit=0,page-number=25,frame=none,physical-address=none
tlb-remove=none,tlb-add=25logical-address=106496,page-number=26,offset=0
tlb-hit=0,page-number=26,frame=none,physical-address=none
tlb-remove=none,tlb-add=26logical-address=110592,page-number=27,offset=0
tlb-hit=0,page-number=27,frame=none,physical-address=none
tlb-remove=none,tlb-add=27logical-address=114688,page-number=28,offset=0
tlb-hit=0,page-number=28,frame=none,physical-address=none
tlb-remove=none,tlb-add=28logical-address=118784,page-number=29,offset=0
tlb-hit=0,page-number=29,frame=none,physical-address=none
tlb-remove=none,tlb-add=29logical-address=122880,page-number=30,offset=0
tlb-hit=0,page-number=30,frame=none,physical-address=none
tlb-remove=none,tlb-add=30logical-address=126976,page-number=31,offset=0
tlb-hit=0,page-number=31,frame=none,physical-address=none
tlb-remove=none,tlb-add=31logical-address=131072,page-number=32,offset=0
tlb-hit=0,page-number=32,frame=none,physical-address=none
tlb-remove=none,tlb-add=32logical-address=135168,page-number=33,offset=0
tlb-hit=0,page-number=33,frame=none,physical-address=none
tlb-remove=none,tlb-add=33logical-address=139264,page-number=34,offset=0
tlb-hit=0,page-number=34,frame=none,physical-address=none
tlb-remove=none,tlb-add=34logical-address=143360,page-number=35,offset=0
tlb-hit=0,page-number=35,frame=none,physical-address=none
tlb-remove=none,tlb-add=35logical-address=147456,page-number=36,offset=0
tlb-hit=0,page-number=36,frame=none,physical-address=none
tlb-remove=none,tlb-add=36logical-address=151552,page-number=37,offset=0
tlb-hit=0,page-number=37,frame=none,physical-address=none
tlb-remove=none,tlb-add=37logical-address=155648,page-number=38,offset=0
tlb-hit=0,page-number=38,frame=none,physical-address=none
tlb-remove=none,tlb-add=38logical-address=159744,page-number=39,offset=0
tlb-hit=0,page-number=39,frame=none,physical-address=none
tlb-remove=none,tlb-add=39logical-address=163840,page-number=40,offset=0
tlb-hit=0,page-number=40,frame=none,physical-address=none
tlb-remove=none,tlb-add=40logical-address=167936,page-number=41,offset=0
tlb-hit=0,page-number=41,frame=none,physical-address=none
tlb-remove=none,tlb-add=41logical-address=172032,page-number=42,offset=0
tlb-hit=0,page-number=42,frame=none,physical-address=none
tlb-remove=none,tlb-add=42logical-address=176128,page-number=43,offset=0
tlb-hit=0,page-number=43,frame=none,physical-address=none
tlb-remove=none,tlb-add=43logical-address=180224,page-number=44,offset=0
tlb-hit=0,page-number=44,frame=none,physical-address=none
tlb-remove=none,tlb-add=44logical-address=184320,page-number=45,offset=0
tlb-hit=0,page-number=45,frame=none,physical-address=none
tlb-remove=none,tlb-add=45logical-address=188416,page-number=46,offset=0
tlb-hit=0,page-number=46,frame=none,physical-address=none
tlb-remove=none,tlb-add=46logical-address=192512,page-number=47,offset=0
tlb-hit=0,page-number=47,frame=none,physical-address=none
tlb-remove=none,tlb-add=47logical-address=196608,page-number=48,offset=0
tlb-hit=0,page-number=48,frame=none,physical-address=none
tlb-remove=none,tlb-add=48logical-address=200704,page-number=49,offset=0
tlb-hit=0,page-number=49,frame=none,physical-address=none
tlb-remove=none,tlb-add=49logical-address=204800,page-number=50,offset=0
tlb-hit=0,page-number=50,frame=none,physical-address=none
tlb-remove=none,tlb-add=50logical-address=208896,page-number=51,offset=0
tlb-hit=0,page-number=51,frame=none,physical-address=none
tlb-remove=none,tlb-add=51logical-address=212992,page-number=52,offset=0
tlb-hit=0,page-number=52,frame=none,physical-address=none
tlb-remove=none,tlb-add=52logical-address=217088,page-number=53,offset=0
tlb-hit=0,page-number=53,frame=none,physical-address=none
tlb-remove=none,tlb-add=53logical-address=221184,page-number=54,offset=0
tlb-hit=0,page-number=54,frame=none,physical-address=none
tlb-remove=none,tlb-add=54logical-address=225280,page-number=55,offset=0
tlb-hit=0,page-number=55,frame=none,physical-address=none
tlb-remove=none,tlb-add=55logical-address=229376,page-number=56,offset=0
tlb-hit=0,page-number=56,frame=none,physical-address=none
tlb-remove=none,tlb-add=56logical-address=233472,page-number=57,offset=0
tlb-hit=0,page-number=57,frame=none,physical-address=none
tlb-remove=none,tlb-add=57logical-address=237568,page-number=58,offset=0
tlb-hit=0,page-number=58,frame=none,physical-address=none
tlb-remove=none,tlb-add=58logical-address=241664,page-number=59,offset=0
tlb-hit=0,page-number=59,frame=none,physical-address=none
tlb-remove=none,tlb-add=59logical-address=245760,page-number=60,offset=0
tlb-hit=0,page-number=60,frame=none,physical-address=none
tlb-remove=none,tlb-add=60logical-address=249856,page-number=61,offset=0
tlb-hit=0,page-number=61,frame=none,physical-address=none
tlb-remove=none,tlb-add=61logical-address=253952,page-number=62,offset=0
tlb-hit=0,page-number=62,frame=none,physical-address=none
tlb-remove=none,tlb-add=62logical-address=258048,page-number=63,offset=0
tlb-hit=0,page-number=63,frame=none,physical-address=none
tlb-remove=none,tlb-add=63logical-address=262144,page-number=64,offset=0
tlb-hit=0,page-number=64,frame=none,physical-address=none
tlb-remove=none,tlb-add=64logical-address=266240,page-number=65,offset=0
tlb-hit=0,page-number=65,frame=none,physical-address=none
tlb-remove=none,tlb-add=65logical-address=270336,page-number=66,offset=0
tlb-hit=0,page-number=66,frame=none,physical-address=none
tlb-remove=none,tlb-add=66logical-address=274432,page-number=67,offset=0
tlb-hit=0,page-number=67,frame=none,physical-address=none
tlb-remove=none,tlb-add=67logical-address=278528,page-number=68,offset=0
tlb-hit=0,page-number=68,frame=none,physical-address=none
tlb-remove=none,tlb-add=68logical-address=282624,page-number=69,offset=0
tlb-hit=0,page-number=69,frame=none,physical-address=none
tlb-remove=none,tlb-add=69logical-address=286720,page-number=70,offset=0
tlb-hit=0,page-number=70,frame=none,physical-address=none
tlb-remove=none,tlb-add=70logical-address=290816,page-number=71,offset=0
tlb-hit=0,page-number=71,frame=none,physical-address=none
tlb-remove=none,tlb-add=71logical-address=294912,page-number=72,offset=0
tlb-hit=0,page-number=72,frame=none,physical-address=none
tlb-remove=none,tlb-add=72logical-address=299008,page-number=73,offset=0
tlb-hit=0,page-number=73,frame=none,physical-address=none
tlb-remove=none,tlb-add=73logical-address=303104,page-number=74,offset=0
tlb-hit=0,page-number=74,frame=none,physical-address=none
tlb-remove=none,tlb-add=74logical-address=307200,page-number=75,offset=0
tlb-hit=0,page-number=75,frame=none,physical-address=none
tlb-remove=none,tlb-add=75logical-address=311296,page-number=76,offset=0
tlb-hit=0,page-number=76,frame=none,physical-address=none
tlb-remove=none,tlb-add=76logical-address=315392,page-number=77,offset=0
tlb-hit=0,page-number=77,frame=none,physical-address=none
tlb-remove=none,tlb-add=77logical-address=319488,page-number=78,offset=0
tlb-hit=0,page-number=78,frame=none,physical-address=none
tlb-remove=none,tlb-add=78logical-address=323584,page-number=79,offset=0
tlb-hit=0,page-number=79,frame=none,physical-address=none
tlb-remove=none,tlb-add=79logical-address=327680,page-number=80,offset=0
tlb-hit=0,page-number=80,frame=none,physical-address=none
tlb-remove=none,tlb-add=80logical-address=331776,page-number=81,offset=0
tlb-hit=0,page-number=81,frame=none,physical-address=none
